object_name,bnc_frequency
book,374
car,353
paper,237
letter,215
game,212
computer,174
picture,159
plant,146
cup,134
machine,132
bill,121
glass,120
note,117
stone,112
fish,105
drug,104
television,102
card,96
document,95
rock,93
radio,91
ball,89
tea,88
file,86
newspaper,86
branch,85
train,84
coin,-1
fig,78
flower,76
bag,75
boat,74
key,71
painting,71
phone,71
drink,70
engine,69
bus,68
coffee,68
sheet,66
plate,64
magazine,64
egg,62
photo,-1
container,-1
block,57
brain,57
map,56
crown,53
ring,52
leaf,51
dress,48
fan,48
milk,48
ticket,48
magnet,-1
horn,-1
gift,47
cross,46
plane,45
mirror,43
coat,42
wheel,41
string,41
ice,41
rose,41
boot,41
hat,40
suit,39
creature,39
bomb,39
camera,39
bread,38
soup,-1
meat,38
wine,-1
frame,-1
pen,-1
vest,-1
apple,35
pipe,35
guitar,34
disk,34
medicine,34
pin,-1
sugar,-1
clock,33
chemical,33
seed,32
tie,32
watch,32
stock,-1
jar,-1
fork,-1
shell,30
wire,29
pill,-1
pot,29
brick,28
bell,28
